key,PorR,time_stamp
Key.backspace,False,15:37:01.848236
Key.backspace,True,15:37:01.972704
Key.backspace,False,15:37:01.999641
Key.backspace,True,15:37:02.113328
Key.backspace,False,15:37:02.154810
Key.backspace,True,15:37:02.257089
Key.backspace,False,15:37:02.313560
Key.backspace,True,15:37:02.419574
Key.backspace,False,15:37:02.476244
Key.backspace,True,15:37:02.573742
Key.backspace,False,15:37:02.659362
Key.backspace,True,15:37:02.769370
Key.backspace,False,15:37:02.817244
Key.backspace,True,15:37:02.932391
Key.backspace,False,15:37:03.012525
Key.backspace,True,15:37:03.153958
Key.backspace,False,15:37:03.240240
Key.backspace,True,15:37:50.507291
Key.backspace,False,15:37:50.536895
'2',True,15:37:51.004306
'2',False,15:37:51.044200
Key.backspace,True,15:38:34.692139
Key.backspace,False,15:38:34.725797
'3',True,15:38:34.884446
'3',False,15:38:34.929160
Key.backspace,True,15:39:23.745664
Key.backspace,False,15:39:23.792959
'1',True,15:39:23.952823
'1',False,15:39:24.024846
Key.backspace,True,15:39:27.360731
Key.backspace,False,15:39:27.429822
'4',True,15:39:27.584701
'4',False,15:39:27.634033
Key.backspace,True,15:39:59.350625
Key.backspace,False,15:39:59.375603
'3',True,15:39:59.515980
'3',False,15:39:59.551774
Key.backspace,True,15:40:42.536040
Key.backspace,False,15:40:42.591427
'k',True,15:40:44.449970
'k',False,15:40:44.498839
Key.enter,True,15:40:47.239640
Key.enter,False,15:40:47.275544
'k',True,15:40:47.624893
'k',False,15:40:47.663951
Key.space,True,15:40:48.634255
Key.space,False,15:40:48.694942
Key.shift,True,15:40:48.734507
'=',True,15:40:48.825027
'=',False,15:40:48.909628
Key.space,True,15:40:48.958151
Key.shift,False,15:40:48.979106
Key.space,False,15:40:49.004031
'3',True,15:40:49.795682
'3',False,15:40:49.833783
Key.backspace,True,15:41:43.236799
Key.backspace,False,15:41:43.291175
Key.backspace,True,15:41:43.401488
Key.backspace,False,15:41:43.442480
Key.backspace,True,15:41:43.539898
Key.backspace,False,15:41:43.579637
Key.backspace,True,15:41:43.679882
Key.backspace,False,15:41:43.710150
Key.backspace,True,15:41:43.810876
Key.backspace,False,15:41:43.845785
Key.backspace,True,15:41:43.950931
Key.backspace,False,15:41:43.980854
Key.backspace,True,15:41:44.078743
Key.backspace,False,15:41:44.108068
Key.backspace,True,15:41:44.215926
Key.backspace,False,15:41:44.245390
Key.backspace,True,15:41:44.354941
Key.backspace,False,15:41:44.378879
Key.backspace,True,15:41:44.504544
Key.backspace,False,15:41:44.525493
Key.backspace,True,15:41:44.624222
Key.backspace,False,15:41:44.674088
Key.backspace,True,15:41:44.813713
Key.backspace,False,15:41:44.879544
Key.backspace,True,15:41:45.060988
Key.backspace,False,15:41:45.120887
Key.backspace,True,15:41:45.451697
Key.backspace,False,15:41:45.512536
Key.enter,True,15:41:46.900332
Key.enter,False,15:41:46.945218
Key.backspace,True,15:41:47.315565
Key.backspace,False,15:41:47.345575
'k',True,15:41:48.357650
'k',False,15:41:48.404525
Key.space,True,15:41:48.556981
Key.shift,True,15:41:48.679753
Key.space,False,15:41:48.701697
'=',True,15:41:48.927627
Key.shift,False,15:41:49.004282
Key.space,True,15:41:49.041768
'-',False,15:41:49.062437
Key.space,False,15:41:49.082387
'k',True,15:41:49.831736
'k',False,15:41:49.863620
Key.space,True,15:41:50.589574
Key.space,False,15:41:50.709780
Key.shift,True,15:41:50.748660
'+',True,15:41:50.906704
'+',False,15:41:50.944584
Key.shift,False,15:41:50.980210
Key.space,True,15:41:51.047558
Key.space,False,15:41:51.076727
'1',True,15:41:51.583429
'1',False,15:41:51.607365
Key.left,True,15:42:23.801353
Key.left,False,15:42:23.841777
Key.backspace,True,15:42:24.348099
Key.backspace,False,15:42:24.394501
'2',True,15:42:24.578513
'2',False,15:42:24.617409
Key.backspace,True,15:42:36.456842
Key.backspace,False,15:42:36.501780
'3',True,15:42:36.638432
'3',False,15:42:36.678439
Key.backspace,True,15:42:46.622295
Key.backspace,False,15:42:46.640246
'9',True,15:42:46.978347
'9',False,15:42:47.020335
Key.enter,True,15:43:51.676576
Key.enter,False,15:43:51.716308
'i',True,15:43:53.213301
